layer,head,k,iou_score,program_idxs_used
1,9,14,0.555,62|68|33|9|55|23|27|64|30|58|24|18|2|32
1,9,15,0.555,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36
1,9,16,0.557,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36|28
1,9,17,0.557,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36|28|56
1,9,18,0.557,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36|28|56|59
1,9,19,0.557,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36|28|56|59|52
1,9,20,0.557,62|68|33|9|55|23|27|64|30|58|24|18|2|32|36|28|56|59|52|14
1,10,1,0.31,9
1,10,2,0.3,9|62
1,10,3,0.332,9|62|47
1,10,4,0.333,9|62|47|1
1,10,5,0.346,9|62|47|1|6
1,10,6,0.384,9|62|47|1|6|21
1,10,7,0.384,9|62|47|1|6|21|0
1,10,8,0.383,9|62|47|1|6|21|0|42
1,10,9,0.707,9|62|47|1|6|21|0|42|69
1,10,10,0.707,9|62|47|1|6|21|0|42|69|41
1,10,11,0.707,9|62|47|1|6|21|0|42|69|41|5
